도시수:50
시드:1573476603해집단 크기:2000	세대수:10000	교차율:0.7	변이율:0.01
실행시간	121.24초
전체 거리	12.632
16	0.959	0.044
26	0.894	0.123
25	0.962	0.228
47	0.463	0.193
6	0.257	0.167
48	0.283	0.048
36	0.167	0.246
40	0.026	0.346
42	0.028	0.653
9	0.070	0.639
13	0.051	0.456
38	0.106	0.537
4	0.192	0.346
8	0.509	0.344
27	0.399	0.265
2	0.325	0.070
43	0.211	0.011
3	0.276	0.140
15	0.173	0.073
30	0.392	0.108
11	0.561	0.753
44	0.366	0.995
33	0.462	0.909
24	0.760	0.811
37	0.469	0.931
12	0.108	0.832
18	0.215	0.776
28	0.327	0.432
45	0.660	0.614
46	0.580	0.677
41	0.313	0.443
32	0.479	0.604
14	0.857	0.908
31	0.867	0.999
22	0.637	0.632
34	0.852	0.635
1	0.859	0.374
35	0.553	0.171
17	0.549	0.288
5	0.736	0.146
39	0.965	0.247
10	0.879	0.250
29	0.936	0.384
23	0.912	0.815
49	0.515	0.735
20	0.652	0.477
0	0.566	0.589
19	0.234	0.431
21	0.257	0.481
7	0.425	0.033
16	0.959	0.044
